20:18:20.453 INFO  manager.ApplicationManager - All tests rus in FIREFOX Browser
20:18:22.133 INFO  manager.ApplicationManager - The link --->https://telranedu.web.app/home
20:18:22.206 INFO  tests.TestBase - Name of method ---> loginSuccess
20:18:22.210 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:27.286 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:27.287 INFO  tests.TestBase - Start test with name `loginSuccess`
20:18:27.291 INFO  tests.TestBase - Test data ---> email: mara@gmail.com& password: Mmar123456$
20:18:27.293 INFO  manager.ListenerWD - Before find element: By.cssSelector: a[href='/login']
20:18:27.319 INFO  manager.ListenerWD - element found success: By.cssSelector: a[href='/login']
20:18:27.323 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> css selector: a[href='/login']]
20:18:27.570 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> css selector: a[href='/login']]
20:18:27.570 INFO  manager.HelperBase - Open form by click button with locator By.cssSelector("a[href='/login']
20:18:27.571 INFO  manager.ListenerWD - Before find element: By.name: email
20:18:27.582 INFO  manager.ListenerWD - element found success: By.name: email
20:18:27.583 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> name: email]
20:18:27.838 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> name: email]
20:18:27.904 INFO  manager.HelperBase - type in input with locator By.name("email") 
20:18:27.904 INFO  manager.ListenerWD - Before find element: By.xpath: //input[last()]
20:18:27.909 INFO  manager.ListenerWD - element found success: By.xpath: //input[last()]
20:18:27.910 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //input[last()]]
20:18:28.128 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //input[last()]]
20:18:28.198 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Login']
20:18:28.203 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Login']
20:18:28.204 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Login']]
20:18:28.434 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Login']]
20:18:28.434 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:29.915 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:29.917 INFO  tests.TestBase - Assert check is Element button 'Sign Out' present
20:18:29.920 INFO  tests.TestBase - ==========================================
20:18:29.921 INFO  tests.TestBase - Name of method ---> loginSuccess
20:18:29.921 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:29.930 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:29.931 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:29.945 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:29.946 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Sign Out']]
20:18:30.173 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Sign Out']]
20:18:30.173 INFO  tests.TestBase - Before method finish logout
20:18:30.174 INFO  tests.TestBase - Start test with name `loginSuccess`
20:18:30.174 INFO  tests.TestBase - Test data ---> email: mara@gmail.com& password: Mmar123456$
20:18:30.174 INFO  manager.ListenerWD - Before find element: By.cssSelector: a[href='/login']
20:18:30.181 INFO  manager.ListenerWD - element found success: By.cssSelector: a[href='/login']
20:18:30.182 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> css selector: a[href='/login']]
20:18:30.403 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> css selector: a[href='/login']]
20:18:30.403 INFO  manager.HelperBase - Open form by click button with locator By.cssSelector("a[href='/login']
20:18:30.403 INFO  manager.ListenerWD - Before find element: By.name: email
20:18:30.420 INFO  manager.ListenerWD - element found success: By.name: email
20:18:30.421 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> name: email]
20:18:30.643 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> name: email]
20:18:30.718 INFO  manager.HelperBase - type in input with locator By.name("email") 
20:18:30.718 INFO  manager.ListenerWD - Before find element: By.xpath: //input[last()]
20:18:30.724 INFO  manager.ListenerWD - element found success: By.xpath: //input[last()]
20:18:30.725 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //input[last()]]
20:18:30.945 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //input[last()]]
20:18:31.012 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Login']
20:18:31.019 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Login']
20:18:31.020 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Login']]
20:18:31.251 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Login']]
20:18:31.251 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:31.347 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:31.348 INFO  tests.TestBase - Assert check is Element button 'Sign Out' present
20:18:31.349 INFO  tests.TestBase - ==========================================
20:18:31.350 INFO  tests.TestBase - Name of method ---> loginSuccess
20:18:31.351 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:31.359 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:31.359 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:31.375 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:31.375 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Sign Out']]
20:18:31.595 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Sign Out']]
20:18:31.595 INFO  tests.TestBase - Before method finish logout
20:18:31.596 INFO  tests.TestBase - Start test with name `loginSuccess`
20:18:31.596 INFO  tests.TestBase - Test data ---> email: sonya@gmail.com& password: Ss12345$
20:18:31.596 INFO  manager.ListenerWD - Before find element: By.cssSelector: a[href='/login']
20:18:31.605 INFO  manager.ListenerWD - element found success: By.cssSelector: a[href='/login']
20:18:31.605 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> css selector: a[href='/login']]
20:18:31.828 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> css selector: a[href='/login']]
20:18:31.828 INFO  manager.HelperBase - Open form by click button with locator By.cssSelector("a[href='/login']
20:18:31.828 INFO  manager.ListenerWD - Before find element: By.name: email
20:18:31.838 INFO  manager.ListenerWD - element found success: By.name: email
20:18:31.839 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> name: email]
20:18:32.057 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> name: email]
20:18:32.125 INFO  manager.HelperBase - type in input with locator By.name("email") 
20:18:32.126 INFO  manager.ListenerWD - Before find element: By.xpath: //input[last()]
20:18:32.133 INFO  manager.ListenerWD - element found success: By.xpath: //input[last()]
20:18:32.133 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //input[last()]]
20:18:32.353 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //input[last()]]
20:18:32.418 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Login']
20:18:32.428 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Login']
20:18:32.429 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Login']]
20:18:32.650 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Login']]
20:18:32.650 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:32.829 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:32.830 INFO  tests.TestBase - Assert check is Element button 'Sign Out' present
20:18:32.831 INFO  tests.TestBase - ==========================================
20:18:32.833 INFO  tests.TestBase - Name of method ---> loginSuccessModel
20:18:32.833 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:32.846 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:32.846 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:32.862 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:32.862 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Sign Out']]
20:18:33.084 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Sign Out']]
20:18:33.084 INFO  tests.TestBase - Before method finish logout
20:18:33.088 INFO  tests.TestBase - Test data ---> User{email='mara@gmail.com', password='Mmar123456$'}
