18:57:39.401 INFO  manager.ApplicationManager - All tests rus in Chrome Browser
18:57:40.957 INFO  manager.ApplicationManager - The link --->https://telranedu.web.app/
18:57:40.988 INFO  tests.TestBase - Name of method ---> loginWrongEmail
18:57:40.991 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
18:57:46.034 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
18:57:46.035 INFO  tests.TestBase - Test data ---> email: 'maragmail.com' & password: 'Mmar123456$' 
18:57:46.035 INFO  manager.ListenerWD - Before find element: By.cssSelector: a[href='/login']
18:57:46.052 INFO  manager.ListenerWD - element found success: By.cssSelector: a[href='/login']
18:57:46.060 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: a[href='/login']]
18:57:46.130 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: a[href='/login']]
18:57:46.130 INFO  manager.HelperBase - Open form by click button with locator By.cssSelector("a[href='/login']
18:57:46.131 INFO  manager.ListenerWD - Before find element: By.name: email
18:57:46.147 INFO  manager.ListenerWD - element found success: By.name: email
18:57:46.147 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> name: email]
18:57:46.209 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> name: email]
18:57:46.369 INFO  manager.HelperBase - type in input with locator By.name("email") 
18:57:46.369 INFO  manager.ListenerWD - Before find element: By.xpath: //input[last()]
18:57:46.392 INFO  manager.ListenerWD - element found success: By.xpath: //input[last()]
18:57:46.394 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> xpath: //input[last()]]
18:57:46.430 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> xpath: //input[last()]]
18:57:46.567 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Login']
